Time since start in ms ,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
18380,2.084,10.0059,-0.158
18402,2.0108,10.1879,0.5257
18420,2.0108,10.1879,0.5257
18440,2.4746,9.7011,-0.3537
18468,2.4746,9.7011,-0.3537
18480,2.4746,9.7011,-0.3537
18500,2.1101,9.7754,0.2262
18520,2.1101,9.7754,0.2262
18541,2.0376,10.3915,0.9113
18560,2.0376,10.3915,0.9113
18580,2.9053,8.7636,0.2754
18600,3.0588,8.6434,-0.3879
18620,3.0588,8.6434,-0.3879
18641,3.0588,8.6434,-0.3879
18660,2.8511,9.5848,0.2849
18686,2.651,9.3011,0.4245
18700,2.651,9.3011,0.4245
18719,2.651,9.3011,0.4245
18740,2.466,9.9851,0.7363
18760,2.0121,9.9191,0.6597
18781,2.0121,9.9191,0.6597
18800,2.2896,9.5078,0.5371
18820,2.2896,9.5078,0.5371
18841,2.2494,9.4501,0.5241
18860,2.2494,9.4501,0.5241
18880,2.428,9.4333,0.6945
18900,2.3819,9.458,0.6678
18923,2.3819,9.458,0.6678
18940,2.3819,9.458,0.6678
18960,2.3892,9.5236,0.6317
18980,2.3892,9.5236,0.6317
19000,2.3867,9.4716,0.5893
19027,2.3956,9.4952,0.6434
19048,2.3956,9.4952,0.6434
19061,2.4719,9.4602,0.7156
19080,2.4719,9.4602,0.7156
19100,2.4719,9.4602,0.7156
19120,2.4719,9.4602,0.7156
19140,2.3592,9.362,0.686
19160,2.3592,9.362,0.686
19180,2.3959,9.5034,0.6506
19200,2.3883,9.3841,0.8124
19220,2.3883,9.3841,0.8124
19240,2.2949,9.3673,0.8104
19260,2.2949,9.3673,0.8104
19280,2.3415,9.6709,0.7407
19301,2.3415,9.6709,0.7407
19320,2.2262,9.4528,0.5787
19340,2.2262,9.4528,0.5787
19362,2.2087,9.384,0.9638
19380,1.8955,9.9374,0.734
19400,1.8955,9.9374,0.734
19420,2.1468,10.2874,0.8175
19440,2.1468,10.2874,0.8175
19460,2.1432,9.7122,0.2788
19480,2.1432,9.7122,0.2788
19500,2.0874,9.6546,0.215
19520,2.0874,9.6546,0.215
19540,2.292,9.5788,0.3617
19560,2.292,9.5788,0.3617
19580,2.2179,9.6249,0.1436
19599,2.2179,9.6249,0.1436
19620,2.3729,9.0694,0.6178
19640,2.3729,9.0694,0.6178
19660,2.3092,9.4462,0.3496
19680,2.3092,9.4462,0.3496
19700,2.0857,9.5817,0.2356
19721,2.0857,9.5817,0.2356
19740,2.1538,9.6185,0.3127
19760,2.1538,9.6185,0.3127
19788,2.2361,9.5005,0.5978
19801,2.2361,9.5005,0.5978
19820,2.4503,9.4528,0.6924
19840,2.4503,9.4528,0.6924
19863,2.1925,9.581,0.4731
19881,2.169,9.586,0.3713
19900,2.169,9.586,0.3713
19920,2.1482,9.5558,0.4256
19940,2.1482,9.5558,0.4256
19960,2.1641,9.5604,0.3829
19980,2.1641,9.5604,0.3829
20000,2.1947,9.4988,0.5935
